,img1,img2,img3,flow
0,alley_1/frame_0001.png,alley_1/frame_0002.png,alley_1/frame_0003.png,alley_1/frame_0001.flo
1,alley_1/frame_0002.png,alley_1/frame_0003.png,alley_1/frame_0004.png,alley_1/frame_0002.flo
2,alley_1/frame_0003.png,alley_1/frame_0004.png,alley_1/frame_0005.png,alley_1/frame_0003.flo
3,alley_1/frame_0004.png,alley_1/frame_0005.png,alley_1/frame_0006.png,alley_1/frame_0004.flo
4,alley_1/frame_0005.png,alley_1/frame_0006.png,alley_1/frame_0007.png,alley_1/frame_0005.flo
5,alley_1/frame_0006.png,alley_1/frame_0007.png,alley_1/frame_0008.png,alley_1/frame_0006.flo
6,alley_1/frame_0007.png,alley_1/frame_0008.png,alley_1/frame_0009.png,alley_1/frame_0007.flo
7,alley_1/frame_0008.png,alley_1/frame_0009.png,alley_1/frame_0010.png,alley_1/frame_0008.flo
8,alley_1/frame_0009.png,alley_1/frame_0010.png,alley_1/frame_0011.png,alley_1/frame_0009.flo
9,alley_1/frame_0010.png,alley_1/frame_0011.png,alley_1/frame_0012.png,alley_1/frame_0010.flo
10,alley_1/frame_0011.png,alley_1/frame_0012.png,alley_1/frame_0013.png,alley_1/frame_0011.flo
11,alley_1/frame_0012.png,alley_1/frame_0013.png,alley_1/frame_0014.png,alley_1/frame_0012.flo
12,alley_1/frame_0013.png,alley_1/frame_0014.png,alley_1/frame_0015.png,alley_1/frame_0013.flo
13,alley_1/frame_0014.png,alley_1/frame_0015.png,alley_1/frame_0016.png,alley_1/frame_0014.flo
14,alley_1/frame_0016.png,alley_1/frame_0017.png,alley_1/frame_0018.png,alley_1/frame_0016.flo
15,alley_1/frame_0017.png,alley_1/frame_0018.png,alley_1/frame_0019.png,alley_1/frame_0017.flo
16,alley_1/frame_0018.png,alley_1/frame_0019.png,alley_1/frame_0020.png,alley_1/frame_0018.flo
17,alley_1/frame_0019.png,alley_1/frame_0020.png,alley_1/frame_0021.png,alley_1/frame_0019.flo
18,alley_1/frame_0020.png,alley_1/frame_0021.png,alley_1/frame_0022.png,alley_1/frame_0020.flo
19,alley_1/frame_0021.png,alley_1/frame_0022.png,alley_1/frame_0023.png,alley_1/frame_0021.flo
20,alley_1/frame_0022.png,alley_1/frame_0023.png,alley_1/frame_0024.png,alley_1/frame_0022.flo
21,alley_1/frame_0023.png,alley_1/frame_0024.png,alley_1/frame_0025.png,alley_1/frame_0023.flo
22,alley_1/frame_0024.png,alley_1/frame_0025.png,alley_1/frame_0026.png,alley_1/frame_0024.flo
23,alley_1/frame_0025.png,alley_1/frame_0026.png,alley_1/frame_0027.png,alley_1/frame_0025.flo
24,alley_1/frame_0026.png,alley_1/frame_0027.png,alley_1/frame_0028.png,alley_1/frame_0026.flo
25,alley_1/frame_0027.png,alley_1/frame_0028.png,alley_1/frame_0029.png,alley_1/frame_0027.flo
26,alley_1/frame_0028.png,alley_1/frame_0029.png,alley_1/frame_0030.png,alley_1/frame_0028.flo
27,alley_1/frame_0029.png,alley_1/frame_0030.png,alley_1/frame_0031.png,alley_1/frame_0029.flo
28,alley_1/frame_0031.png,alley_1/frame_0032.png,alley_1/frame_0033.png,alley_1/frame_0031.flo
29,alley_1/frame_0032.png,alley_1/frame_0033.png,alley_1/frame_0034.png,alley_1/frame_0032.flo
30,alley_1/frame_0033.png,alley_1/frame_0034.png,alley_1/frame_0035.png,alley_1/frame_0033.flo
31,alley_1/frame_0034.png,alley_1/frame_0035.png,alley_1/frame_0036.png,alley_1/frame_0034.flo
32,alley_1/frame_0035.png,alley_1/frame_0036.png,alley_1/frame_0037.png,alley_1/frame_0035.flo
33,alley_1/frame_0036.png,alley_1/frame_0037.png,alley_1/frame_0038.png,alley_1/frame_0036.flo
34,alley_1/frame_0038.png,alley_1/frame_0039.png,alley_1/frame_0040.png,alley_1/frame_0038.flo
35,alley_1/frame_0039.png,alley_1/frame_0040.png,alley_1/frame_0041.png,alley_1/frame_0039.flo
36,alley_1/frame_0040.png,alley_1/frame_0041.png,alley_1/frame_0042.png,alley_1/frame_0040.flo
37,alley_1/frame_0041.png,alley_1/frame_0042.png,alley_1/frame_0043.png,alley_1/frame_0041.flo
38,alley_1/frame_0042.png,alley_1/frame_0043.png,alley_1/frame_0044.png,alley_1/frame_0042.flo
39,alley_1/frame_0043.png,alley_1/frame_0044.png,alley_1/frame_0045.png,alley_1/frame_0043.flo
40,alley_1/frame_0045.png,alley_1/frame_0046.png,alley_1/frame_0047.png,alley_1/frame_0045.flo
41,alley_1/frame_0046.png,alley_1/frame_0047.png,alley_1/frame_0048.png,alley_1/frame_0046.flo
42,alley_1/frame_0047.png,alley_1/frame_0048.png,alley_1/frame_0049.png,alley_1/frame_0047.flo
