,img1,img2,img3,flow
0,bamboo_1/frame_0001.png,bamboo_1/frame_0002.png,bamboo_1/frame_0003.png,bamboo_1/frame_0001.flo
1,bamboo_1/frame_0002.png,bamboo_1/frame_0003.png,bamboo_1/frame_0004.png,bamboo_1/frame_0002.flo
2,bamboo_1/frame_0003.png,bamboo_1/frame_0004.png,bamboo_1/frame_0005.png,bamboo_1/frame_0003.flo
3,bamboo_1/frame_0004.png,bamboo_1/frame_0005.png,bamboo_1/frame_0006.png,bamboo_1/frame_0004.flo
4,bamboo_1/frame_0005.png,bamboo_1/frame_0006.png,bamboo_1/frame_0007.png,bamboo_1/frame_0005.flo
5,bamboo_1/frame_0006.png,bamboo_1/frame_0007.png,bamboo_1/frame_0008.png,bamboo_1/frame_0006.flo
6,bamboo_1/frame_0007.png,bamboo_1/frame_0008.png,bamboo_1/frame_0009.png,bamboo_1/frame_0007.flo
7,bamboo_1/frame_0008.png,bamboo_1/frame_0009.png,bamboo_1/frame_0010.png,bamboo_1/frame_0008.flo
8,bamboo_1/frame_0009.png,bamboo_1/frame_0010.png,bamboo_1/frame_0011.png,bamboo_1/frame_0009.flo
9,bamboo_1/frame_0010.png,bamboo_1/frame_0011.png,bamboo_1/frame_0012.png,bamboo_1/frame_0010.flo
10,bamboo_1/frame_0011.png,bamboo_1/frame_0012.png,bamboo_1/frame_0013.png,bamboo_1/frame_0011.flo
11,bamboo_1/frame_0012.png,bamboo_1/frame_0013.png,bamboo_1/frame_0014.png,bamboo_1/frame_0012.flo
12,bamboo_1/frame_0013.png,bamboo_1/frame_0014.png,bamboo_1/frame_0015.png,bamboo_1/frame_0013.flo
13,bamboo_1/frame_0014.png,bamboo_1/frame_0015.png,bamboo_1/frame_0016.png,bamboo_1/frame_0014.flo
14,bamboo_1/frame_0016.png,bamboo_1/frame_0017.png,bamboo_1/frame_0018.png,bamboo_1/frame_0016.flo
15,bamboo_1/frame_0017.png,bamboo_1/frame_0018.png,bamboo_1/frame_0019.png,bamboo_1/frame_0017.flo
16,bamboo_1/frame_0018.png,bamboo_1/frame_0019.png,bamboo_1/frame_0020.png,bamboo_1/frame_0018.flo
17,bamboo_1/frame_0019.png,bamboo_1/frame_0020.png,bamboo_1/frame_0021.png,bamboo_1/frame_0019.flo
18,bamboo_1/frame_0020.png,bamboo_1/frame_0021.png,bamboo_1/frame_0022.png,bamboo_1/frame_0020.flo
19,bamboo_1/frame_0021.png,bamboo_1/frame_0022.png,bamboo_1/frame_0023.png,bamboo_1/frame_0021.flo
20,bamboo_1/frame_0022.png,bamboo_1/frame_0023.png,bamboo_1/frame_0024.png,bamboo_1/frame_0022.flo
21,bamboo_1/frame_0023.png,bamboo_1/frame_0024.png,bamboo_1/frame_0025.png,bamboo_1/frame_0023.flo
22,bamboo_1/frame_0024.png,bamboo_1/frame_0025.png,bamboo_1/frame_0026.png,bamboo_1/frame_0024.flo
23,bamboo_1/frame_0025.png,bamboo_1/frame_0026.png,bamboo_1/frame_0027.png,bamboo_1/frame_0025.flo
24,bamboo_1/frame_0026.png,bamboo_1/frame_0027.png,bamboo_1/frame_0028.png,bamboo_1/frame_0026.flo
25,bamboo_1/frame_0027.png,bamboo_1/frame_0028.png,bamboo_1/frame_0029.png,bamboo_1/frame_0027.flo
26,bamboo_1/frame_0028.png,bamboo_1/frame_0029.png,bamboo_1/frame_0030.png,bamboo_1/frame_0028.flo
27,bamboo_1/frame_0029.png,bamboo_1/frame_0030.png,bamboo_1/frame_0031.png,bamboo_1/frame_0029.flo
28,bamboo_1/frame_0031.png,bamboo_1/frame_0032.png,bamboo_1/frame_0033.png,bamboo_1/frame_0031.flo
29,bamboo_1/frame_0032.png,bamboo_1/frame_0033.png,bamboo_1/frame_0034.png,bamboo_1/frame_0032.flo
30,bamboo_1/frame_0033.png,bamboo_1/frame_0034.png,bamboo_1/frame_0035.png,bamboo_1/frame_0033.flo
31,bamboo_1/frame_0034.png,bamboo_1/frame_0035.png,bamboo_1/frame_0036.png,bamboo_1/frame_0034.flo
32,bamboo_1/frame_0035.png,bamboo_1/frame_0036.png,bamboo_1/frame_0037.png,bamboo_1/frame_0035.flo
33,bamboo_1/frame_0036.png,bamboo_1/frame_0037.png,bamboo_1/frame_0038.png,bamboo_1/frame_0036.flo
34,bamboo_1/frame_0038.png,bamboo_1/frame_0039.png,bamboo_1/frame_0040.png,bamboo_1/frame_0038.flo
35,bamboo_1/frame_0039.png,bamboo_1/frame_0040.png,bamboo_1/frame_0041.png,bamboo_1/frame_0039.flo
36,bamboo_1/frame_0040.png,bamboo_1/frame_0041.png,bamboo_1/frame_0042.png,bamboo_1/frame_0040.flo
37,bamboo_1/frame_0041.png,bamboo_1/frame_0042.png,bamboo_1/frame_0043.png,bamboo_1/frame_0041.flo
38,bamboo_1/frame_0042.png,bamboo_1/frame_0043.png,bamboo_1/frame_0044.png,bamboo_1/frame_0042.flo
39,bamboo_1/frame_0043.png,bamboo_1/frame_0044.png,bamboo_1/frame_0045.png,bamboo_1/frame_0043.flo
40,bamboo_1/frame_0045.png,bamboo_1/frame_0046.png,bamboo_1/frame_0047.png,bamboo_1/frame_0045.flo
41,bamboo_1/frame_0046.png,bamboo_1/frame_0047.png,bamboo_1/frame_0048.png,bamboo_1/frame_0046.flo
42,bamboo_1/frame_0047.png,bamboo_1/frame_0048.png,bamboo_1/frame_0049.png,bamboo_1/frame_0047.flo
