,img1,img2,img3,flow
0,bandage_2/frame_0001.png,bandage_2/frame_0002.png,bandage_2/frame_0003.png,bandage_2/frame_0001.flo
1,bandage_2/frame_0002.png,bandage_2/frame_0003.png,bandage_2/frame_0004.png,bandage_2/frame_0002.flo
2,bandage_2/frame_0003.png,bandage_2/frame_0004.png,bandage_2/frame_0005.png,bandage_2/frame_0003.flo
3,bandage_2/frame_0004.png,bandage_2/frame_0005.png,bandage_2/frame_0006.png,bandage_2/frame_0004.flo
4,bandage_2/frame_0005.png,bandage_2/frame_0006.png,bandage_2/frame_0007.png,bandage_2/frame_0005.flo
5,bandage_2/frame_0006.png,bandage_2/frame_0007.png,bandage_2/frame_0008.png,bandage_2/frame_0006.flo
6,bandage_2/frame_0007.png,bandage_2/frame_0008.png,bandage_2/frame_0009.png,bandage_2/frame_0007.flo
7,bandage_2/frame_0008.png,bandage_2/frame_0009.png,bandage_2/frame_0010.png,bandage_2/frame_0008.flo
8,bandage_2/frame_0009.png,bandage_2/frame_0010.png,bandage_2/frame_0011.png,bandage_2/frame_0009.flo
9,bandage_2/frame_0010.png,bandage_2/frame_0011.png,bandage_2/frame_0012.png,bandage_2/frame_0010.flo
10,bandage_2/frame_0011.png,bandage_2/frame_0012.png,bandage_2/frame_0013.png,bandage_2/frame_0011.flo
11,bandage_2/frame_0012.png,bandage_2/frame_0013.png,bandage_2/frame_0014.png,bandage_2/frame_0012.flo
12,bandage_2/frame_0013.png,bandage_2/frame_0014.png,bandage_2/frame_0015.png,bandage_2/frame_0013.flo
13,bandage_2/frame_0014.png,bandage_2/frame_0015.png,bandage_2/frame_0016.png,bandage_2/frame_0014.flo
14,bandage_2/frame_0016.png,bandage_2/frame_0017.png,bandage_2/frame_0018.png,bandage_2/frame_0016.flo
15,bandage_2/frame_0017.png,bandage_2/frame_0018.png,bandage_2/frame_0019.png,bandage_2/frame_0017.flo
16,bandage_2/frame_0018.png,bandage_2/frame_0019.png,bandage_2/frame_0020.png,bandage_2/frame_0018.flo
17,bandage_2/frame_0019.png,bandage_2/frame_0020.png,bandage_2/frame_0021.png,bandage_2/frame_0019.flo
18,bandage_2/frame_0020.png,bandage_2/frame_0021.png,bandage_2/frame_0022.png,bandage_2/frame_0020.flo
19,bandage_2/frame_0021.png,bandage_2/frame_0022.png,bandage_2/frame_0023.png,bandage_2/frame_0021.flo
20,bandage_2/frame_0022.png,bandage_2/frame_0023.png,bandage_2/frame_0024.png,bandage_2/frame_0022.flo
21,bandage_2/frame_0023.png,bandage_2/frame_0024.png,bandage_2/frame_0025.png,bandage_2/frame_0023.flo
22,bandage_2/frame_0024.png,bandage_2/frame_0025.png,bandage_2/frame_0026.png,bandage_2/frame_0024.flo
23,bandage_2/frame_0025.png,bandage_2/frame_0026.png,bandage_2/frame_0027.png,bandage_2/frame_0025.flo
24,bandage_2/frame_0026.png,bandage_2/frame_0027.png,bandage_2/frame_0028.png,bandage_2/frame_0026.flo
25,bandage_2/frame_0027.png,bandage_2/frame_0028.png,bandage_2/frame_0029.png,bandage_2/frame_0027.flo
26,bandage_2/frame_0028.png,bandage_2/frame_0029.png,bandage_2/frame_0030.png,bandage_2/frame_0028.flo
27,bandage_2/frame_0029.png,bandage_2/frame_0030.png,bandage_2/frame_0031.png,bandage_2/frame_0029.flo
28,bandage_2/frame_0031.png,bandage_2/frame_0032.png,bandage_2/frame_0033.png,bandage_2/frame_0031.flo
29,bandage_2/frame_0032.png,bandage_2/frame_0033.png,bandage_2/frame_0034.png,bandage_2/frame_0032.flo
30,bandage_2/frame_0033.png,bandage_2/frame_0034.png,bandage_2/frame_0035.png,bandage_2/frame_0033.flo
31,bandage_2/frame_0034.png,bandage_2/frame_0035.png,bandage_2/frame_0036.png,bandage_2/frame_0034.flo
32,bandage_2/frame_0035.png,bandage_2/frame_0036.png,bandage_2/frame_0037.png,bandage_2/frame_0035.flo
33,bandage_2/frame_0036.png,bandage_2/frame_0037.png,bandage_2/frame_0038.png,bandage_2/frame_0036.flo
34,bandage_2/frame_0038.png,bandage_2/frame_0039.png,bandage_2/frame_0040.png,bandage_2/frame_0038.flo
35,bandage_2/frame_0039.png,bandage_2/frame_0040.png,bandage_2/frame_0041.png,bandage_2/frame_0039.flo
36,bandage_2/frame_0040.png,bandage_2/frame_0041.png,bandage_2/frame_0042.png,bandage_2/frame_0040.flo
37,bandage_2/frame_0041.png,bandage_2/frame_0042.png,bandage_2/frame_0043.png,bandage_2/frame_0041.flo
38,bandage_2/frame_0042.png,bandage_2/frame_0043.png,bandage_2/frame_0044.png,bandage_2/frame_0042.flo
39,bandage_2/frame_0043.png,bandage_2/frame_0044.png,bandage_2/frame_0045.png,bandage_2/frame_0043.flo
40,bandage_2/frame_0045.png,bandage_2/frame_0046.png,bandage_2/frame_0047.png,bandage_2/frame_0045.flo
41,bandage_2/frame_0046.png,bandage_2/frame_0047.png,bandage_2/frame_0048.png,bandage_2/frame_0046.flo
42,bandage_2/frame_0047.png,bandage_2/frame_0048.png,bandage_2/frame_0049.png,bandage_2/frame_0047.flo
