,img1,img2,img3,flow
0,cave_4/frame_0001.png,cave_4/frame_0002.png,cave_4/frame_0003.png,cave_4/frame_0001.flo
1,cave_4/frame_0003.png,cave_4/frame_0004.png,cave_4/frame_0005.png,cave_4/frame_0003.flo
2,cave_4/frame_0004.png,cave_4/frame_0005.png,cave_4/frame_0006.png,cave_4/frame_0004.flo
3,cave_4/frame_0005.png,cave_4/frame_0006.png,cave_4/frame_0007.png,cave_4/frame_0005.flo
4,cave_4/frame_0006.png,cave_4/frame_0007.png,cave_4/frame_0008.png,cave_4/frame_0006.flo
5,cave_4/frame_0007.png,cave_4/frame_0008.png,cave_4/frame_0009.png,cave_4/frame_0007.flo
6,cave_4/frame_0008.png,cave_4/frame_0009.png,cave_4/frame_0010.png,cave_4/frame_0008.flo
7,cave_4/frame_0009.png,cave_4/frame_0010.png,cave_4/frame_0011.png,cave_4/frame_0009.flo
8,cave_4/frame_0010.png,cave_4/frame_0011.png,cave_4/frame_0012.png,cave_4/frame_0010.flo
9,cave_4/frame_0011.png,cave_4/frame_0012.png,cave_4/frame_0013.png,cave_4/frame_0011.flo
10,cave_4/frame_0012.png,cave_4/frame_0013.png,cave_4/frame_0014.png,cave_4/frame_0012.flo
11,cave_4/frame_0013.png,cave_4/frame_0014.png,cave_4/frame_0015.png,cave_4/frame_0013.flo
12,cave_4/frame_0014.png,cave_4/frame_0015.png,cave_4/frame_0016.png,cave_4/frame_0014.flo
13,cave_4/frame_0015.png,cave_4/frame_0016.png,cave_4/frame_0017.png,cave_4/frame_0015.flo
14,cave_4/frame_0016.png,cave_4/frame_0017.png,cave_4/frame_0018.png,cave_4/frame_0016.flo
15,cave_4/frame_0017.png,cave_4/frame_0018.png,cave_4/frame_0019.png,cave_4/frame_0017.flo
16,cave_4/frame_0019.png,cave_4/frame_0020.png,cave_4/frame_0021.png,cave_4/frame_0019.flo
17,cave_4/frame_0020.png,cave_4/frame_0021.png,cave_4/frame_0022.png,cave_4/frame_0020.flo
18,cave_4/frame_0021.png,cave_4/frame_0022.png,cave_4/frame_0023.png,cave_4/frame_0021.flo
19,cave_4/frame_0022.png,cave_4/frame_0023.png,cave_4/frame_0024.png,cave_4/frame_0022.flo
20,cave_4/frame_0023.png,cave_4/frame_0024.png,cave_4/frame_0025.png,cave_4/frame_0023.flo
21,cave_4/frame_0024.png,cave_4/frame_0025.png,cave_4/frame_0026.png,cave_4/frame_0024.flo
22,cave_4/frame_0025.png,cave_4/frame_0026.png,cave_4/frame_0027.png,cave_4/frame_0025.flo
23,cave_4/frame_0027.png,cave_4/frame_0028.png,cave_4/frame_0029.png,cave_4/frame_0027.flo
24,cave_4/frame_0028.png,cave_4/frame_0029.png,cave_4/frame_0030.png,cave_4/frame_0028.flo
25,cave_4/frame_0029.png,cave_4/frame_0030.png,cave_4/frame_0031.png,cave_4/frame_0029.flo
26,cave_4/frame_0031.png,cave_4/frame_0032.png,cave_4/frame_0033.png,cave_4/frame_0031.flo
27,cave_4/frame_0032.png,cave_4/frame_0033.png,cave_4/frame_0034.png,cave_4/frame_0032.flo
28,cave_4/frame_0034.png,cave_4/frame_0035.png,cave_4/frame_0036.png,cave_4/frame_0034.flo
29,cave_4/frame_0035.png,cave_4/frame_0036.png,cave_4/frame_0037.png,cave_4/frame_0035.flo
30,cave_4/frame_0036.png,cave_4/frame_0037.png,cave_4/frame_0038.png,cave_4/frame_0036.flo
31,cave_4/frame_0037.png,cave_4/frame_0038.png,cave_4/frame_0039.png,cave_4/frame_0037.flo
32,cave_4/frame_0038.png,cave_4/frame_0039.png,cave_4/frame_0040.png,cave_4/frame_0038.flo
33,cave_4/frame_0039.png,cave_4/frame_0040.png,cave_4/frame_0041.png,cave_4/frame_0039.flo
34,cave_4/frame_0040.png,cave_4/frame_0041.png,cave_4/frame_0042.png,cave_4/frame_0040.flo
35,cave_4/frame_0041.png,cave_4/frame_0042.png,cave_4/frame_0043.png,cave_4/frame_0041.flo
36,cave_4/frame_0042.png,cave_4/frame_0043.png,cave_4/frame_0044.png,cave_4/frame_0042.flo
37,cave_4/frame_0043.png,cave_4/frame_0044.png,cave_4/frame_0045.png,cave_4/frame_0043.flo
38,cave_4/frame_0044.png,cave_4/frame_0045.png,cave_4/frame_0046.png,cave_4/frame_0044.flo
39,cave_4/frame_0045.png,cave_4/frame_0046.png,cave_4/frame_0047.png,cave_4/frame_0045.flo
40,cave_4/frame_0046.png,cave_4/frame_0047.png,cave_4/frame_0048.png,cave_4/frame_0046.flo
41,cave_4/frame_0047.png,cave_4/frame_0048.png,cave_4/frame_0049.png,cave_4/frame_0047.flo
42,cave_4/frame_0048.png,cave_4/frame_0049.png,cave_4/frame_0050.png,cave_4/frame_0048.flo
