,img1,img2,img3,flow
0,market_2/frame_0001.png,market_2/frame_0002.png,market_2/frame_0003.png,market_2/frame_0001.flo
1,market_2/frame_0002.png,market_2/frame_0003.png,market_2/frame_0004.png,market_2/frame_0002.flo
2,market_2/frame_0003.png,market_2/frame_0004.png,market_2/frame_0005.png,market_2/frame_0003.flo
3,market_2/frame_0004.png,market_2/frame_0005.png,market_2/frame_0006.png,market_2/frame_0004.flo
4,market_2/frame_0005.png,market_2/frame_0006.png,market_2/frame_0007.png,market_2/frame_0005.flo
5,market_2/frame_0006.png,market_2/frame_0007.png,market_2/frame_0008.png,market_2/frame_0006.flo
6,market_2/frame_0007.png,market_2/frame_0008.png,market_2/frame_0009.png,market_2/frame_0007.flo
7,market_2/frame_0008.png,market_2/frame_0009.png,market_2/frame_0010.png,market_2/frame_0008.flo
8,market_2/frame_0009.png,market_2/frame_0010.png,market_2/frame_0011.png,market_2/frame_0009.flo
9,market_2/frame_0010.png,market_2/frame_0011.png,market_2/frame_0012.png,market_2/frame_0010.flo
10,market_2/frame_0011.png,market_2/frame_0012.png,market_2/frame_0013.png,market_2/frame_0011.flo
11,market_2/frame_0012.png,market_2/frame_0013.png,market_2/frame_0014.png,market_2/frame_0012.flo
12,market_2/frame_0013.png,market_2/frame_0014.png,market_2/frame_0015.png,market_2/frame_0013.flo
13,market_2/frame_0014.png,market_2/frame_0015.png,market_2/frame_0016.png,market_2/frame_0014.flo
14,market_2/frame_0016.png,market_2/frame_0017.png,market_2/frame_0018.png,market_2/frame_0016.flo
15,market_2/frame_0017.png,market_2/frame_0018.png,market_2/frame_0019.png,market_2/frame_0017.flo
16,market_2/frame_0018.png,market_2/frame_0019.png,market_2/frame_0020.png,market_2/frame_0018.flo
17,market_2/frame_0019.png,market_2/frame_0020.png,market_2/frame_0021.png,market_2/frame_0019.flo
18,market_2/frame_0020.png,market_2/frame_0021.png,market_2/frame_0022.png,market_2/frame_0020.flo
19,market_2/frame_0021.png,market_2/frame_0022.png,market_2/frame_0023.png,market_2/frame_0021.flo
20,market_2/frame_0022.png,market_2/frame_0023.png,market_2/frame_0024.png,market_2/frame_0022.flo
21,market_2/frame_0023.png,market_2/frame_0024.png,market_2/frame_0025.png,market_2/frame_0023.flo
22,market_2/frame_0024.png,market_2/frame_0025.png,market_2/frame_0026.png,market_2/frame_0024.flo
23,market_2/frame_0025.png,market_2/frame_0026.png,market_2/frame_0027.png,market_2/frame_0025.flo
24,market_2/frame_0026.png,market_2/frame_0027.png,market_2/frame_0028.png,market_2/frame_0026.flo
25,market_2/frame_0027.png,market_2/frame_0028.png,market_2/frame_0029.png,market_2/frame_0027.flo
26,market_2/frame_0028.png,market_2/frame_0029.png,market_2/frame_0030.png,market_2/frame_0028.flo
27,market_2/frame_0029.png,market_2/frame_0030.png,market_2/frame_0031.png,market_2/frame_0029.flo
28,market_2/frame_0031.png,market_2/frame_0032.png,market_2/frame_0033.png,market_2/frame_0031.flo
29,market_2/frame_0032.png,market_2/frame_0033.png,market_2/frame_0034.png,market_2/frame_0032.flo
30,market_2/frame_0033.png,market_2/frame_0034.png,market_2/frame_0035.png,market_2/frame_0033.flo
31,market_2/frame_0034.png,market_2/frame_0035.png,market_2/frame_0036.png,market_2/frame_0034.flo
32,market_2/frame_0035.png,market_2/frame_0036.png,market_2/frame_0037.png,market_2/frame_0035.flo
33,market_2/frame_0036.png,market_2/frame_0037.png,market_2/frame_0038.png,market_2/frame_0036.flo
34,market_2/frame_0038.png,market_2/frame_0039.png,market_2/frame_0040.png,market_2/frame_0038.flo
35,market_2/frame_0039.png,market_2/frame_0040.png,market_2/frame_0041.png,market_2/frame_0039.flo
36,market_2/frame_0040.png,market_2/frame_0041.png,market_2/frame_0042.png,market_2/frame_0040.flo
37,market_2/frame_0041.png,market_2/frame_0042.png,market_2/frame_0043.png,market_2/frame_0041.flo
38,market_2/frame_0042.png,market_2/frame_0043.png,market_2/frame_0044.png,market_2/frame_0042.flo
39,market_2/frame_0043.png,market_2/frame_0044.png,market_2/frame_0045.png,market_2/frame_0043.flo
40,market_2/frame_0045.png,market_2/frame_0046.png,market_2/frame_0047.png,market_2/frame_0045.flo
41,market_2/frame_0046.png,market_2/frame_0047.png,market_2/frame_0048.png,market_2/frame_0046.flo
42,market_2/frame_0047.png,market_2/frame_0048.png,market_2/frame_0049.png,market_2/frame_0047.flo
