,img1,img2,img3,flow
0,shaman_3/frame_0001.png,shaman_3/frame_0002.png,shaman_3/frame_0003.png,shaman_3/frame_0001.flo
1,shaman_3/frame_0002.png,shaman_3/frame_0003.png,shaman_3/frame_0004.png,shaman_3/frame_0002.flo
2,shaman_3/frame_0003.png,shaman_3/frame_0004.png,shaman_3/frame_0005.png,shaman_3/frame_0003.flo
3,shaman_3/frame_0004.png,shaman_3/frame_0005.png,shaman_3/frame_0006.png,shaman_3/frame_0004.flo
4,shaman_3/frame_0005.png,shaman_3/frame_0006.png,shaman_3/frame_0007.png,shaman_3/frame_0005.flo
5,shaman_3/frame_0006.png,shaman_3/frame_0007.png,shaman_3/frame_0008.png,shaman_3/frame_0006.flo
6,shaman_3/frame_0007.png,shaman_3/frame_0008.png,shaman_3/frame_0009.png,shaman_3/frame_0007.flo
7,shaman_3/frame_0008.png,shaman_3/frame_0009.png,shaman_3/frame_0010.png,shaman_3/frame_0008.flo
8,shaman_3/frame_0009.png,shaman_3/frame_0010.png,shaman_3/frame_0011.png,shaman_3/frame_0009.flo
9,shaman_3/frame_0010.png,shaman_3/frame_0011.png,shaman_3/frame_0012.png,shaman_3/frame_0010.flo
10,shaman_3/frame_0011.png,shaman_3/frame_0012.png,shaman_3/frame_0013.png,shaman_3/frame_0011.flo
11,shaman_3/frame_0012.png,shaman_3/frame_0013.png,shaman_3/frame_0014.png,shaman_3/frame_0012.flo
12,shaman_3/frame_0013.png,shaman_3/frame_0014.png,shaman_3/frame_0015.png,shaman_3/frame_0013.flo
13,shaman_3/frame_0014.png,shaman_3/frame_0015.png,shaman_3/frame_0016.png,shaman_3/frame_0014.flo
14,shaman_3/frame_0016.png,shaman_3/frame_0017.png,shaman_3/frame_0018.png,shaman_3/frame_0016.flo
15,shaman_3/frame_0017.png,shaman_3/frame_0018.png,shaman_3/frame_0019.png,shaman_3/frame_0017.flo
16,shaman_3/frame_0018.png,shaman_3/frame_0019.png,shaman_3/frame_0020.png,shaman_3/frame_0018.flo
17,shaman_3/frame_0019.png,shaman_3/frame_0020.png,shaman_3/frame_0021.png,shaman_3/frame_0019.flo
18,shaman_3/frame_0020.png,shaman_3/frame_0021.png,shaman_3/frame_0022.png,shaman_3/frame_0020.flo
19,shaman_3/frame_0021.png,shaman_3/frame_0022.png,shaman_3/frame_0023.png,shaman_3/frame_0021.flo
20,shaman_3/frame_0022.png,shaman_3/frame_0023.png,shaman_3/frame_0024.png,shaman_3/frame_0022.flo
21,shaman_3/frame_0023.png,shaman_3/frame_0024.png,shaman_3/frame_0025.png,shaman_3/frame_0023.flo
22,shaman_3/frame_0024.png,shaman_3/frame_0025.png,shaman_3/frame_0026.png,shaman_3/frame_0024.flo
23,shaman_3/frame_0025.png,shaman_3/frame_0026.png,shaman_3/frame_0027.png,shaman_3/frame_0025.flo
24,shaman_3/frame_0026.png,shaman_3/frame_0027.png,shaman_3/frame_0028.png,shaman_3/frame_0026.flo
25,shaman_3/frame_0027.png,shaman_3/frame_0028.png,shaman_3/frame_0029.png,shaman_3/frame_0027.flo
26,shaman_3/frame_0028.png,shaman_3/frame_0029.png,shaman_3/frame_0030.png,shaman_3/frame_0028.flo
27,shaman_3/frame_0029.png,shaman_3/frame_0030.png,shaman_3/frame_0031.png,shaman_3/frame_0029.flo
28,shaman_3/frame_0031.png,shaman_3/frame_0032.png,shaman_3/frame_0033.png,shaman_3/frame_0031.flo
29,shaman_3/frame_0032.png,shaman_3/frame_0033.png,shaman_3/frame_0034.png,shaman_3/frame_0032.flo
30,shaman_3/frame_0033.png,shaman_3/frame_0034.png,shaman_3/frame_0035.png,shaman_3/frame_0033.flo
31,shaman_3/frame_0034.png,shaman_3/frame_0035.png,shaman_3/frame_0036.png,shaman_3/frame_0034.flo
32,shaman_3/frame_0035.png,shaman_3/frame_0036.png,shaman_3/frame_0037.png,shaman_3/frame_0035.flo
33,shaman_3/frame_0036.png,shaman_3/frame_0037.png,shaman_3/frame_0038.png,shaman_3/frame_0036.flo
34,shaman_3/frame_0038.png,shaman_3/frame_0039.png,shaman_3/frame_0040.png,shaman_3/frame_0038.flo
35,shaman_3/frame_0039.png,shaman_3/frame_0040.png,shaman_3/frame_0041.png,shaman_3/frame_0039.flo
36,shaman_3/frame_0040.png,shaman_3/frame_0041.png,shaman_3/frame_0042.png,shaman_3/frame_0040.flo
37,shaman_3/frame_0041.png,shaman_3/frame_0042.png,shaman_3/frame_0043.png,shaman_3/frame_0041.flo
38,shaman_3/frame_0042.png,shaman_3/frame_0043.png,shaman_3/frame_0044.png,shaman_3/frame_0042.flo
39,shaman_3/frame_0043.png,shaman_3/frame_0044.png,shaman_3/frame_0045.png,shaman_3/frame_0043.flo
40,shaman_3/frame_0045.png,shaman_3/frame_0046.png,shaman_3/frame_0047.png,shaman_3/frame_0045.flo
41,shaman_3/frame_0046.png,shaman_3/frame_0047.png,shaman_3/frame_0048.png,shaman_3/frame_0046.flo
42,shaman_3/frame_0047.png,shaman_3/frame_0048.png,shaman_3/frame_0049.png,shaman_3/frame_0047.flo
