,img1,img2,img3,flow
0,temple_2/frame_0001.png,temple_2/frame_0002.png,temple_2/frame_0003.png,temple_2/frame_0001.flo
1,temple_2/frame_0002.png,temple_2/frame_0003.png,temple_2/frame_0004.png,temple_2/frame_0002.flo
2,temple_2/frame_0003.png,temple_2/frame_0004.png,temple_2/frame_0005.png,temple_2/frame_0003.flo
3,temple_2/frame_0004.png,temple_2/frame_0005.png,temple_2/frame_0006.png,temple_2/frame_0004.flo
4,temple_2/frame_0005.png,temple_2/frame_0006.png,temple_2/frame_0007.png,temple_2/frame_0005.flo
5,temple_2/frame_0006.png,temple_2/frame_0007.png,temple_2/frame_0008.png,temple_2/frame_0006.flo
6,temple_2/frame_0007.png,temple_2/frame_0008.png,temple_2/frame_0009.png,temple_2/frame_0007.flo
7,temple_2/frame_0008.png,temple_2/frame_0009.png,temple_2/frame_0010.png,temple_2/frame_0008.flo
8,temple_2/frame_0009.png,temple_2/frame_0010.png,temple_2/frame_0011.png,temple_2/frame_0009.flo
9,temple_2/frame_0010.png,temple_2/frame_0011.png,temple_2/frame_0012.png,temple_2/frame_0010.flo
10,temple_2/frame_0011.png,temple_2/frame_0012.png,temple_2/frame_0013.png,temple_2/frame_0011.flo
11,temple_2/frame_0012.png,temple_2/frame_0013.png,temple_2/frame_0014.png,temple_2/frame_0012.flo
12,temple_2/frame_0013.png,temple_2/frame_0014.png,temple_2/frame_0015.png,temple_2/frame_0013.flo
13,temple_2/frame_0014.png,temple_2/frame_0015.png,temple_2/frame_0016.png,temple_2/frame_0014.flo
14,temple_2/frame_0016.png,temple_2/frame_0017.png,temple_2/frame_0018.png,temple_2/frame_0016.flo
15,temple_2/frame_0017.png,temple_2/frame_0018.png,temple_2/frame_0019.png,temple_2/frame_0017.flo
16,temple_2/frame_0018.png,temple_2/frame_0019.png,temple_2/frame_0020.png,temple_2/frame_0018.flo
17,temple_2/frame_0019.png,temple_2/frame_0020.png,temple_2/frame_0021.png,temple_2/frame_0019.flo
18,temple_2/frame_0020.png,temple_2/frame_0021.png,temple_2/frame_0022.png,temple_2/frame_0020.flo
19,temple_2/frame_0021.png,temple_2/frame_0022.png,temple_2/frame_0023.png,temple_2/frame_0021.flo
20,temple_2/frame_0022.png,temple_2/frame_0023.png,temple_2/frame_0024.png,temple_2/frame_0022.flo
21,temple_2/frame_0023.png,temple_2/frame_0024.png,temple_2/frame_0025.png,temple_2/frame_0023.flo
22,temple_2/frame_0024.png,temple_2/frame_0025.png,temple_2/frame_0026.png,temple_2/frame_0024.flo
23,temple_2/frame_0025.png,temple_2/frame_0026.png,temple_2/frame_0027.png,temple_2/frame_0025.flo
24,temple_2/frame_0026.png,temple_2/frame_0027.png,temple_2/frame_0028.png,temple_2/frame_0026.flo
25,temple_2/frame_0027.png,temple_2/frame_0028.png,temple_2/frame_0029.png,temple_2/frame_0027.flo
26,temple_2/frame_0028.png,temple_2/frame_0029.png,temple_2/frame_0030.png,temple_2/frame_0028.flo
27,temple_2/frame_0029.png,temple_2/frame_0030.png,temple_2/frame_0031.png,temple_2/frame_0029.flo
28,temple_2/frame_0031.png,temple_2/frame_0032.png,temple_2/frame_0033.png,temple_2/frame_0031.flo
29,temple_2/frame_0032.png,temple_2/frame_0033.png,temple_2/frame_0034.png,temple_2/frame_0032.flo
30,temple_2/frame_0033.png,temple_2/frame_0034.png,temple_2/frame_0035.png,temple_2/frame_0033.flo
31,temple_2/frame_0034.png,temple_2/frame_0035.png,temple_2/frame_0036.png,temple_2/frame_0034.flo
32,temple_2/frame_0035.png,temple_2/frame_0036.png,temple_2/frame_0037.png,temple_2/frame_0035.flo
33,temple_2/frame_0036.png,temple_2/frame_0037.png,temple_2/frame_0038.png,temple_2/frame_0036.flo
34,temple_2/frame_0038.png,temple_2/frame_0039.png,temple_2/frame_0040.png,temple_2/frame_0038.flo
35,temple_2/frame_0039.png,temple_2/frame_0040.png,temple_2/frame_0041.png,temple_2/frame_0039.flo
36,temple_2/frame_0040.png,temple_2/frame_0041.png,temple_2/frame_0042.png,temple_2/frame_0040.flo
37,temple_2/frame_0041.png,temple_2/frame_0042.png,temple_2/frame_0043.png,temple_2/frame_0041.flo
38,temple_2/frame_0042.png,temple_2/frame_0043.png,temple_2/frame_0044.png,temple_2/frame_0042.flo
39,temple_2/frame_0043.png,temple_2/frame_0044.png,temple_2/frame_0045.png,temple_2/frame_0043.flo
40,temple_2/frame_0045.png,temple_2/frame_0046.png,temple_2/frame_0047.png,temple_2/frame_0045.flo
41,temple_2/frame_0046.png,temple_2/frame_0047.png,temple_2/frame_0048.png,temple_2/frame_0046.flo
42,temple_2/frame_0047.png,temple_2/frame_0048.png,temple_2/frame_0049.png,temple_2/frame_0047.flo
